"type","passengerClass","distance","units","source"
"domestic","average",463,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"short-haul international","average",1108,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"short-haul international","economy",1108,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"short-haul international","business",1108,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"long-haul international","average",6482,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"long-haul international","economy",6482,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"long-haul international","premium economy",6482,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"long-haul international","business",6482,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"long-haul international","first",6482,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
