"airportName","country","IATACode","fullName","latitude","longitude","units","source"
"Anaa [AAA]","French Polynesia","AAA","Anaa","-17.35","-145.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Annaba [AAE]","Algeria","AAE","Annaba","36.82","7.81","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aachen [AAH]","Germany","AAH","Aachen Merzbruck","50.82","6.19","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aalborg [AAL]","Denmark","AAL","Aalborg","57.09","9.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anaco [AAO]","Venezuela","AAO","Anaco","9.43","-64.47","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aarhus [AAR]","Denmark","AAR","Aarhus","56.3","10.62","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abakan [ABA]","Russia","ABA","Abakan","53.74","91.39","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abadan [ABD]","Iran","ABD","Abadan","30.37","48.23","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abilene [ABI]","United States","ABI","Abilene Regional","32.41","-99.68","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abidjan [ABJ]","Ivory Coast","ABJ","Abidjan Felix Houphouet Boigny International","5.26","-3.93","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amberley [ABM]","Australia","ABM","Bamaga Injinoo","-10.95","142.46","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kirtland Air Force Base [ABQ]","United States","ABQ","Albuquerque International Sunport","35.04","-106.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abu Simbel [ABS]","Egypt","ABS","Abu Simbel","22.38","31.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"El-Baha [ABT]","Saudi Arabia","ABT","Al Baha","20.3","41.63","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abuja [ABV]","Nigeria","ABV","Abuja Nnamdi Azikiwe International","9.01","7.26","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Albury [ABX]","Australia","ABX","Albury","-36.07","146.96","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aberdeen [ABZ]","United Kingdom","ABZ","Dyce","57.2","-2.2","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Acapulco [ACA]","Mexico","ACA","General Juan N Alvarez International","16.76","-99.75","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Accra [ACC]","Ghana","ACC","Kotoka International","5.6","-0.17","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Lanzarote [ACE]","Canary Islands","ACE","Lanzarote","28.95","-13.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Altenrhein [ACH]","Switzerland","ACH","St Gallen Altenrhein","47.49","9.56","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nantucket [ACK]","United States","ACK","Nantucket Memorial","41.25","-70.06","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Waco [ACT]","United States","ACT","Waco Regional","31.61","-97.23","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Atlantic City [ACY]","United States","ACY","Atlantic City International","39.46","-74.58","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Adana [ADA]","Turkey","ADA","Adana/Incirlik Ab","36.98","35.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Izmir [ADB]","Turkey","ADB","Adnan Menderes","38.29","27.16","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Addis Ababa [ADD]","Ethiopia","ADD","Bole International","8.98","38.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aldan [ADH]","Russia","ADH","Ada Municipal","34.8","-96.67","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amman [ADJ]","Jordan","ADJ","Marka International","31.97","35.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Adak Island [ADK]","United States","ADK","Adak","51.88","-176.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Adelaide [ADL]","Australia","ADL","Adelaide International","-34.95","138.53","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ardmore [ADM]","United States","ADM","Ardmore Municipal","34.3","-97.02","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kodiak [ADQ]","United States","ADQ","Kodiak","57.75","-152.49","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Camp Springs [ADW]","United States","ADW","Andrews Air Force Base","38.81","-76.87","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Leuchars [ADX]","United Kingdom","ADX","Leuchars","56.37","-2.87","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"San Andres Island [ADZ]","Colombia","ADZ","Gustavo Rojas Pinilla","12.58","-81.71","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abeche [AEH]","Chad","AEH","Abeche","13.85","20.84","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Buenos Aires [AEP]","Argentina","AEP","Aeroparque Jorge Newbery","-34.56","-58.42","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Sochi [AER]","Russia","AER","Sochi","43.45","39.95","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alesund [AES]","Norway","AES","Vigra","62.56","6.11","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alexandria [AEX]","United States","AEX","Alexandria International","31.33","-92.55","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Akureyri [AEY]","Iceland","AEY","Akureyri","65.66","-18.07","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"San Rafael [AFA]","Argentina","AFA","San Rafael","-34.59","-68.4","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alta Floresta [AFL]","Brazil","AFL","Alta Floresta","-9.87","-56.11","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Afyon [AFY]","Turkey","AFY","Afyon","38.73","30.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agadir [AGA]","Morocco","AGA","Inezgane","30.38","-9.55","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Augsburg [AGB]","Germany","AGB","Augsburg","48.43","10.93","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agen [AGF]","France","AGF","La Garenne","44.17","0.59","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Angelholm [AGH]","Sweden","AGH","Angelholm","56.3","12.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Malaga [AGP]","Spain","AGP","Malaga","36.67","-4.5","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agrinion [AGQ]","Greece","AGQ","Agrinion","38.6","21.35","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agra [AGR]","India","AGR","Agra","27.16","77.96","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bush Field [AGS]","United States","AGS","Augusta Regional at Bush Field","33.37","-81.96","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aguascalientes [AGU]","Mexico","AGU","Jesus Teran International","21.71","-102.32","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Acarigua [AGV]","Venezuela","AGV","Oswaldo Guevara Mujica","9.55","-69.24","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agatti Island [AGX]","India","AGX","Agatti","10.82","72.18","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aggeneys [AGZ]","South Africa","AGZ","Aggeneys","-29.28","18.81","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abha [AHB]","Saudi Arabia","AHB","Abha","18.24","42.66","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alghero [AHO]","Italy","AHO","Alghero","40.63","8.29","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Al Hociema [AHU]","Morocco","AHU","Cherif El Idrissi","35.18","-3.84","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Yalinga [AIG]","Central African Republic","AIG","Yalinga","45.15","-89.11","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Fort Wainwright [AIN]","United States","AIN","Wainwright As","70.61","-159.86","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aitutaki [AIT]","Cook Islands","AIT","Aitutaki","-18.83","-159.77","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ajaccio [AJA]","Corsica","AJA","Campo Dell Oro","41.92","8.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aizwal [AJL]","India","AJL","Aizawl","23.75","92.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anjouan [AJN]","Comoros Islands","AJN","Anjouan Ouani","-12.13","44.43","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Al-Jouf [AJO]","Saudi Arabia","AJO","Al Jouf","29.79","40.1","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arvidsjaur [AJR]","Sweden","AJR","Arvidsjaur","65.59","19.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aracaju [AJU]","Brazil","AJU","Santa Maria","-10.98","-37.07","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Agadez [AJY]","Niger","AJY","Manu Dayak","16.96","8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Akola [AKD]","India","AKD","Akola","20.7","77.06","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kufra [AKF]","Libya","AKF","Kufra","24.18","23.31","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Asahikawa [AKJ]","Japan","AKJ","Asahikawa","43.67","142.45","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Auckland [AKL]","New Zealand","AKL","Auckland International","-37.01","174.79","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"King Salmon [AKN]","United States","AKN","King Salmon","58.68","-156.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Akure [AKR]","Nigeria","AKR","Akure","7.25","5.3","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Akrotiri [AKT]","Cyprus","AKT","Akrotiri","34.59","32.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aktyubinsk [AKX]","Kazakhstan","AKX","Aktyubinsk","50.25","57.2","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Sittwe [AKY]","Myanmar (Burma)","AKY","Sittwe","20.13","92.87","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alma-Ata [ALA]","Kazakhstan","ALA","Almaty","43.35","77.04","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Albany [ALB]","United States","ALB","Albany International","42.75","-73.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alicante [ALC]","Spain","ALC","Alicante","38.28","-0.56","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alta [ALF]","Norway","ALF","Alta","69.98","23.37","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Algiers [ALG]","Algeria","ALG","Houari Boumediene","36.69","3.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alice [ALI]","United States","ALI","Alice International","27.74","-98.03","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alexander Bay [ALJ]","South Africa","ALJ","Alexander Bay","-28.58","16.53","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Albenga [ALL]","Italy","ALL","Albenga","44.05","8.13","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aleppo [ALP]","Syria","ALP","Aleppo International","36.18","37.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alexandra [ALR]","New Zealand","ALR","Alexandra","-45.21","169.37","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alexandria [ALY]","Egypt","ALY","Alexandria International","31.18","29.95","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amarillo [AMA]","United States","AMA","Amarillo International","35.22","-101.71","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ambilobe [AMB]","Madagascar","AMB","Ambilobe Mahavavy","-13.19","48.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ahmedabad [AMD]","India","AMD","Ahmedabad","23.07","72.63","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Mataram [AMI]","Indonesia","AMI","Selaparang","-8.56","116.09","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amman [AMM]","Jordan","AMM","Queen Alia International","31.72","35.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ambon [AMQ]","Indonesia","AMQ","Pattimura","-3.71","128.09","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amsterdam [AMS]","Netherlands","AMS","Schiphol","52.31","4.76","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anniston [ANB]","United States","ANB","Anniston Metropolitan","33.59","-85.86","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anchorage [ANC]","United States","ANC","Ted Stevens Anchorage International","61.17","-150","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Andersen [AND]","United States","AND","Anderson Regional","34.5","-82.71","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Antofagasta [ANF]","Chile","ANF","Cerro Moreno International","-23.44","-70.45","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Angouleme [ANG]","France","ANG","Brie Champniers","45.73","0.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ankara [ANK]","Turkey","ANK","Etimesgut","39.95","32.69","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Antalaha [ANM]","Madagascar","ANM","Antalaha Antsirabato","-15","50.32","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Annette Island [ANN]","United States","ANN","Annette Island","55.04","-131.57","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Antwerp [ANR]","Belgium","ANR","Deurne","51.19","4.46","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Andahuaylas [ANS]","Peru","ANS","Andahuaylas","-13.71","-73.35","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Antigua [ANU]","Leeward Islands","ANU","V C Bird International","17.14","-61.79","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Andoya [ANX]","Norway","ANX","Andoya","69.29","16.14","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Altenburg [AOC]","Germany","AOC","Altenburg Nobitz","50.98","12.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aomori [AOJ]","Japan","AOJ","Aomori","40.73","140.69","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Karpathos [AOK]","Greece","AOK","Karpathos","35.42","27.15","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Paso De Los Libres [AOL]","Argentina","AOL","Paso De Los Libres","-29.69","-57.15","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Altoona [AOO]","United States","AOO","Altoona Blair County","40.3","-78.32","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alor Setar [AOR]","Malaysia","AOR","Sultan Abdul Halim","6.19","100.4","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Apolo [APB]","Bolivia","APB","Apolo","-14.74","-68.41","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aberdeen [APG]","United States","APG","Phillips Air Force Base","39.47","-76.17","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nampula [APL]","Mozambique","APL","Nampula","-15.11","39.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Faleolo [APW]","American Samoa","APW","Faleolo International","-13.83","-172.01","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Araracuara [AQA]","Brazil","AQA","Araraquara","-21.81","-48.13","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Hafr Al-Batin [AQI]","Saudi Arabia","AQI","Qaisumah","28.34","46.13","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aqaba [AQJ]","Jordan","AQJ","Aqaba International","29.61","35.02","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arequipa [AQP]","Peru","AQP","Rodriguez Ballon","-16.34","-71.58","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Louisiana [ARA]","United States","ARA","Acadiana Regional","30.04","91.88","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arica [ARI]","Chile","ARI","Chacalluta","-18.35","-70.34","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arusha [ARK]","Tanzania","ARK","Arusha","-3.37","36.63","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Stockholm [ARN]","Sweden","ARN","Arlanda","59.65","17.92","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Watertown [ART]","United States","ART","Watertown International","43.99","-76.02","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aracatuba [ARU]","Brazil","ARU","Aracatuba","-21.14","-50.42","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arad [ARW]","Romania","ARW","Arad","46.18","21.26","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ashkhabad [ASB]","Turkmenistan","ASB","Ashgabat","37.99","58.36","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Andros Town [ASD]","Bahamas","ASD","Andros Town","24.7","-77.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Astrakhan [ASF]","Russia","ASF","Astrakhan","46.28","48.01","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amami [ASJ]","Japan","ASJ","Amami","28.43","129.71","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Yamoussoukro [ASK]","Ivory Coast","ASK","Yamoussoukro","6.9","-5.37","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Asmara [ASM]","Eritrea","ASM","Asmara International Airport","15.29","38.91","degrees N and E","amee/defra 2008"
"Alice Springs [ASP]","Australia","ASP","Alice Springs","-23.81","133.9","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kayseri [ASR]","Turkey","ASR","Erkilet","38.77","35.5","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Asuncion [ASU]","Paraguay","ASU","Silvio Pettirossi International","-25.24","-57.52","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aswan [ASW]","Egypt","ASW","Aswan International","23.96","32.82","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anta [ATA]","Peru","ATA","Commandante Fap German Arias Grazziani","-9.35","-77.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ambato [ATF]","Ecuador","ATF","Chachoan","-1.21","-78.57","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Athens [ATH]","Greece","ATH","Eleftherios Venizelos International","37.9","23.73","degrees N and E","http://www.convertunits.com/distance/airport/"
"Artigas [ATI]","Uruguay","ATI","Artigas International","-30.4","-56.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Atlanta [ATL]","United States","ATL","The William B Hartsfield Atlanta International","33.64","-84.43","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Altamira [ATM]","Brazil","ATM","Altamira","-3.25","-52.25","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amritsar [ATQ]","India","ATQ","Amritsar","31.71","74.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Atar [ATR]","Mauritania","ATR","Atar","20.51","-13.04","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oranjestad [AUA]","Aruba","AUA","Reina Beatrix International","12.5","-70.02","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arauca [AUC]","Colombia","AUC","Santiago Perez","7.07","-70.74","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Auxerre [AUF]","France","AUF","Branches","47.85","3.5","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Augusta [AUG]","United States","AUG","Augusta State","44.32","-69.8","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abu Dhabi [AUH]","United Arab Emirates","AUH","Abu Dhabi International","24.43","54.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aurillac [AUR]","France","AUR","Aurillac","44.89","2.42","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Austin [AUS]","United States","AUS","Austin Bergstrom International","30.19","-97.67","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aviano [AVB]","Italy","AVB","Aviano Ab","46.03","12.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ciego De Avila [AVI]","Cuba","AVI","Maximo Gomez","22.03","-78.79","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Avignon [AVN]","France","AVN","Caumont","43.91","4.9","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Avalon [AVV]","Australia","AVV","Avalon","-38.04","144.47","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ahwaz [AWZ]","Iran","AWZ","Ahwaz","31.34","48.76","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"The Valley [AXA]","Anguilla Islands","AXA","Wallblake","18.2","-63.06","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Alexandroupolis [AXD]","Greece","AXD","Dimokritos","40.86","25.96","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Armenia [AXM]","Colombia","AXM","El Eden","4.45","-75.77","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Spring Point [AXP]","Bahamas","AXP","Spring Point","22.44","-73.97","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Arutua [AXR]","Tuamotu Islands","AXR","Arutua","-15.25","-146.62","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Akita [AXT]","Japan","AXT","Akita","39.62","140.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ayacucho [AYP]","Peru","AYP","Coronel Fap Alfredo Mendivil Duarte","-13.15","-74.2","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Antalya [AYT]","Turkey","AYT","Antalya","36.9","30.79","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Yazd [AZD]","Iran","AZD","Yazd Shahid Sadooghi","31.9","54.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abu Dhabi [AZI]","United Arab Emirates","AZI","Bateen","24.43","54.46","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Adrar [AZR]","Algeria","AZR","Touat Cheikh Sidi Mohamed Belkebir","27.84","-0.19","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Marysville [BAB]","United States","BAB","Beale Air Force Base","39.14","-121.44","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Shreveport [BAD]","United States","BAD","Barksdale Air Force Base","32.5","-93.66","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Baguio [BAG]","Philippines","BAG","Baguio","16.38","120.62","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bahrain [BAH]","Bahrain","BAH","Bahrain International","26.27","50.63","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Baku [BAK]","Azerbaijan","BAK","Bina","40.47","50.05","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Batman [BAL]","Turkey","BAL","Batman","37.93","41.12","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Barranquilla [BAQ]","Colombia","BAQ","Ernesto Cortissoz","10.89","-74.78","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bauru [BAU]","Brazil","BAU","Bauru","-22.35","-49.05","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Barnaul [BAX]","Russia","BAX","Barnaul","53.36","83.54","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Baia Mare [BAY]","Romania","BAY","Tautii Magheraus","47.66","23.47","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Balmaceda [BBA]","Chile","BBA","Balmaceda","-45.92","-71.69","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bhubaneswar [BBI]","India","BBI","Bhubaneshwar","20.24","85.82","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bautzen [BBJ]","Germany","BBJ","Bautzen","51.19","14.52","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kasane [BBK]","Botswana","BBK","Kasane","-17.83","25.16","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Berbera [BBO]","Somalia","BBO","Berbera","10.39","44.94","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Blackbushe [BBS]","United Kingdom","BBS","Blackbushe","51.32","-0.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Berberati [BBT]","Central African Republic","BBT","Berberati","4.22","15.79","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bucharest [BBU]","Romania","BBU","Baneasa","44.5","26.1","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bambari [BBY]","Central African Republic","BBY","Bambari","5.85","20.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Baracoa Playa [BCA]","Cuba","BCA","Gustavo Rizo","20.37","-74.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bacolod [BCD]","Philippines","BCD","Bacolod","10.64","122.93","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bacau [BCM]","Romania","BCM","Bacau","46.52","26.91","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Barcelona [BCN]","Spain","BCN","Barcelona","41.3","2.08","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Boca Raton [BCT]","United States","BCT","Boca Raton","26.38","-80.11","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Baudette [BDE]","United States","BDE","Baudette International","48.73","-94.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bandar Lengeh [BDH]","Iran","BDH","Bandar Lengeh","26.53","54.82","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Banjarmasin [BDJ]","Indonesia","BDJ","Syamsudin Noor","-3.44","114.76","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Windsor Locks [BDL]","United States","BDL","Bradley International","41.94","-72.68","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bandirma [BDM]","Turkey","BDM","Bandirma","40.32","27.98","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Talhar [BDN]","Pakistan","BDN","Talhar","24.84","68.84","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Bandung [BDO]","Indonesia","BDO","Husein Sastranegara","-6.9","107.58","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
