path,versions,aliasedTo
type,1.0|2.0,
briefTipContent,1.0|2.0,
carbonSaving,1.0|2.0,
condition1,1.0|2.0,
condition2,1.0|2.0,
condition3,1.0|2.0,
content,1.0|2.0,
cost,1.0|2.0,
countryWideSavingPerYear,1.0|2.0,
easiestToDo,1.0|2.0,
icon,1.0|2.0,
individualSavingPerYear,1.0|2.0,
isWellDone,1.0|2.0,
links,1.0|2.0,
saveYouMoney,1.0|2.0,
section,1.0|2.0,
source,1.0|2.0,
useOR,1.0|2.0,
isDone,1.0|2.0,
isSelected,1.0|2.0,
