"region","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","regionName","gridRegion","units","source"
"AKGD","total",2.7929,2.7588,1.3135,1284.7206,27.1068,7.4383,1287.5957,,"ASCC Alaska Grid","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AKMS","total",7.3126,7.3716,0.5989,535.7275,22.6454,4.4750,537.5903,,"ASCC Miscellaneous","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ERCT","total",0.7382,0.7224,2.5557,1252.5653,17.7570,13.9910,1257.2754,,"ERCOT All","TX",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"FRCC","total",1.9832,1.9387,3.1828,1220.1098,41.1933,15.2547,1225.7039,,"FRCC All","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HIMS","total",5.6167,5.7801,2.0639,1343.8226,135.1488,21.7094,1353.3906,,"HICC Miscellaneous","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HIOA","total",4.4118,4.3407,10.0956,1620.7611,91.0470,20.8880,1629.1484,,"HICC Oahu","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MROE","total",2.3039,2.2586,6.5654,1692.3209,28.7902,29.0482,1701.9304,,"MRO East","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MROW","total",3.0683,3.0208,5.3043,1722.6704,28.9676,29.1941,1732.3289,,"MRO West","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYLI","total",1.9808,1.7812,4.0335,1418.7394,90.5044,13.1012,1424.7013,,"NPCC Long Island","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NEWE","total",0.8402,0.7618,2.8432,827.9524,76.9821,15.2006,834.2812,,"NPCC New England","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYCW","total",0.4758,0.4683,0.5446,704.8030,26.2212,3.3499,706.3921,,"NPCC NYC/Westchester","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYUP","total",0.7199,0.6879,2.3996,683.2725,17.4135,9.8984,686.7067,,"NPCC Upstate NY","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCE","total",1.5102,1.1635,7.9245,1059.3196,27.4003,17.0299,1065.1743,,"RFC East","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCM","total",2.2963,1.7926,7.2401,1651.1144,32.5549,27.7902,1660.4130,,"RFC Michigan","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCW","total",2.5006,1.4829,8.5998,1551.5166,18.3704,25.9256,1559.9393,,"RFC West","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRMW","total",1.7986,1.2033,5.4302,1779.2698,20.5704,29.6032,1788.8788,,"SERC Midwest","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRMV","total",1.1817,1.2672,1.6340,1004.0965,21.7963,11.1456,1008.0093,,"SERC Mississippi Valley","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRSO","total",1.9120,1.4543,8.5548,1495.4716,23.6406,24.5739,1503.5860,,"SERC South","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRTV","total",2.4561,1.3018,5.3235,1540.8489,19.8747,25.4803,1549.1652,,"SERC Tennessee Valley","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRVC","total",1.2522,0.9729,4.7758,1118.4058,22.2554,19.0750,1124.7865,,"SERC Virginia/Carolina","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SPNO","total",2.9506,2.7539,5.0848,1798.7060,21.2177,29.2000,1808.2035,,"SPP North","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SPSO","total",2.2384,2.1019,3.6288,1624.0256,24.5205,22.4167,1631.4897,,"SPP South","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CAMX","total",0.6235,0.5899,0.4237,681.0070,28.2917,6.2316,683.5329,,"WECC California","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NWPP","total",1.4508,1.4132,1.2864,858.7896,16.3389,13.6445,863.3625,,"WECC Northwest","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RMPA","total",2.7033,2.6755,2.5022,1906.0635,23.6264,28.8901,1915.5156,,"WECC Rockies","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AZNM","total",1.8703,1.7605,0.9640,1252.6106,18.8008,16.5694,1258.1420,,"WECC Southwest","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"US","total",1.7717,1.4161,4.7230,1293.0476,25.066,19.6366,1299.6613,,"United States","US",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AKGD","non baseload",2.7006,2.7781,1.3563,1363.1871,34.9912,6.9502,1366.0765,,"ASCC Alaska Grid","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AKMS","non baseload",20.8079,20.7284,1.7088,1462.2981,61.6840,12.1751,1467.3677,,"ASCC Miscellaneous","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ERCT","non baseload",0.5254,0.5440,0.6708,1096.1859,19.6884,5.6346,1098.3461,,"ERCOT All","TX",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"FRCC","non baseload",1.6465,1.6452,2.6173,1286.4119,43.4041,11.4999,1290.8884,,"FRCC All","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HIMS","non baseload",8.4570,8.6419,2.4412,1645.5749,122.9435,21.3262,1654.7678,,"HICC Miscellaneous","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HIOA","non baseload",3.4674,3.5661,5.5465,1630.8910,106.1806,18.5162,1638.8608,,"HICC Oahu","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MROE","non baseload",3.3246,3.1142,6.9891,1905.1760,35.2482,29.9824,1915.2108,,"MRO East","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
