year,country,massPerEnergyRenewable,massPerEnergyNuclear,massPerEnergyFossil,massPerEnergyTotal,units,source
2010,Norway,87.4,102.6,190,380,,Ostfold Research/Energy Trading and Environment 2020 project
2010,Sweden,10.2,8.6,1.2,20,,Ostfold Research/Energy Trading and Environment 2020 project
2010,Finland,81.4,107.3,181.3,370,,Ostfold Research/Energy Trading and Environment 2020 project
2010,Denmark,153.7,0,376.3,530,,Ostfold Research/Energy Trading and Environment 2020 project
