"brandName","modelName","modelNumber","energyPerTime","units","source"
"Canon","LASER CLASS810","LASER CLASS810",57.39,"kWh/year","www.energystar.gov"
"Canon","LASER CLASS830i","LASER CLASS830i",57.39,"kWh/year","www.energystar.gov"
"Kyocera","KM-F650","KM-F650",20.87,"kWh/year","www.energystar.gov"
"Panasonic","KX-FP215","KX-FP215",10.44,"kWh/year","www.energystar.gov"
"Panasonic","KX-FP215C-S","KX-FP215C-S",10.44,"kWh/year","www.energystar.gov"
"Panasonic","Laser Fax","KX-FL511",31.31,"kWh/year","www.energystar.gov"
"Panasonic","Laser Fax","KX-FL541",31.31,"kWh/year","www.energystar.gov"
"Panasonic","Laser Fax","KX-FL611",31.31,"kWh/year","www.energystar.gov"
"Panasonic","Plain Paper Fax","KX-FG2451",41.74,"kWh/year","www.energystar.gov"
"Panasonic","Plain Paper Fax","KX-FP205",10.44,"kWh/year","www.energystar.gov"
"Panasonic","Plain Paper Fax","KX-FP215",10.44,"kWh/year","www.energystar.gov"
"Panasonic","UF-4000","UF-4000",52.18,"kWh/year","www.energystar.gov"
"Panasonic","UF-4100","UF-4100",52.18,"kWh/year","www.energystar.gov"
"Panasonic","UF-6100","UF-6100",31.31,"kWh/year","www.energystar.gov"
"Panasonic","UF-6200","UF-6200",20.87,"kWh/year","www.energystar.gov"
"Panasonic","UF-6300","UF-6300",20.87,"kWh/year","www.energystar.gov"
"Panasonic","UF-7200","UF-7200",67.83,"kWh/year","www.energystar.gov"
"Panasonic","UF-7300","UF-7300",67.83,"kWh/year","www.energystar.gov"
"Panasonic","UF-8000","UF-8000",67.83,"kWh/year","www.energystar.gov"
"Panasonic","UF-8200","UF-8200",67.83,"kWh/year","www.energystar.gov"
"Sharp","UX-P115","UX-P115",31.31,"kWh/year","www.energystar.gov"
"Sharp","UX-P200","UX-P200",26.09,"kWh/year","www.energystar.gov"
"Xerox","WorkCentre 5687x","WorkCentre 5687x",975.71,"kWh/year","www.energystar.gov"
