homeType,numberOfBedrooms,floorArea,units,source,algorithm
flat,0,38.2,metres squared,BRE 2009,
flat,1,42.2,metres squared,BRE 2009,
flat,2,61.1,metres squared,BRE 2009,
flat,3,81.8,metres squared,BRE 2009,
flat,4,108.1,metres squared,BRE 2009,
flat,5,145.8,metres squared,BRE 2009,
flat,6,169.9,metres squared,BRE 2009,
mid-terrace house,0,38.6,metres squared,BRE 2009,
mid-terrace house,1,42.2,metres squared,BRE 2009,
mid-terrace house,2,61.8,metres squared,BRE 2009,
mid-terrace house,3,79.5,metres squared,BRE 2009,
mid-terrace house,4,111.3,metres squared,BRE 2009,
mid-terrace house,5,158.3,metres squared,BRE 2009,
mid-terrace house,6,184.6,metres squared,BRE 2009,
end-terrace house,0,40.2,metres squared,BRE 2009,
end-terrace house,1,42.7,metres squared,BRE 2009,
end-terrace house,2,64.2,metres squared,BRE 2009,
end-terrace house,3,80.6,metres squared,BRE 2009,
end-terrace house,4,112.1,metres squared,BRE 2009,
end-terrace house,5,147.6,metres squared,BRE 2009,
end-terrace house,6,172.1,metres squared,BRE 2009,
semi-detached bungalow,0,36.8,metres squared,BRE 2009,
semi-detached bungalow,1,46.2,metres squared,BRE 2009,
semi-detached bungalow,2,58.8,metres squared,BRE 2009,
semi-detached bungalow,3,76.1,metres squared,BRE 2009,
semi-detached bungalow,4,99.7,metres squared,BRE 2009,
semi-detached bungalow,5,147.4,metres squared,BRE 2009,
semi-detached bungalow,6,171.8,metres squared,BRE 2009,
detached bungalow,0,43.8,metres squared,BRE 2009,
detached bungalow,1,55.0,metres squared,BRE 2009,
detached bungalow,2,70.0,metres squared,BRE 2009,
detached bungalow,3,89.3,metres squared,BRE 2009,
detached bungalow,4,116.9,metres squared,BRE 2009,
detached bungalow,5,172.8,metres squared,BRE 2009,
detached bungalow,6,201.5,metres squared,BRE 2009,
semi-detached house,0,40.9,metres squared,BRE 2009,
semi-detached house,1,51.3,metres squared,BRE 2009,
semi-detached house,2,65.4,metres squared,BRE 2009,
semi-detached house,3,81.2,metres squared,BRE 2009,
semi-detached house,4,120.3,metres squared,BRE 2009,
semi-detached house,5,159.2,metres squared,BRE 2009,
semi-detached house,6,185.6,metres squared,BRE 2009,
detached house,0,61.5,metres squared,BRE 2009,
detached house,1,77.2,metres squared,BRE 2009,
detached house,2,98.4,metres squared,BRE 2009,
detached house,3,108.1,metres squared,BRE 2009,
detached house,4,143.9,metres squared,BRE 2009,
detached house,5,212.7,metres squared,BRE 2009,
detached house,6,248.0,metres squared,BRE 2009,
maisonette,0,39.1,metres squared,BRE 2009,
maisonette,1,42.4,metres squared,BRE 2009,
maisonette,2,62.6,metres squared,BRE 2009,
maisonette,3,79.9,metres squared,BRE 2009,
maisonette,4,111.6,metres squared,BRE 2009,
maisonette,5,154.2,metres squared,BRE 2009,
maisonette,6,180.6,metres squared,BRE 2009,
