path,versions,aliasedTo
manufacturer,1.0|2.0,
line,1.0|2.0,
engineSize,1.0|2.0,
transmission,1.0|2.0,
class,1.0|2.0,
cylinders,1.0|2.0,
driveSystem,1.0|2.0,
fuelType,1.0|2.0,
indexNumber,1.0|2.0,
mpgCity,1.0|2.0,
mpgCombined,1.0|2.0,
mpgHighway,1.0|2.0,
releaseDate,1.0|2.0,
source,1.0|2.0,
unrndCityEPA,1.0|2.0,
unrndCompEPA,1.0|2.0,
unrndHwyEPA,1.0|2.0,
mpgOwn,1.0,ownFuelConsumption
ownFuelConsumption,2.0,
drivingType,1.0|2.0,
distanceMilesPerMonth,1.0,distance
distance,2.0,
