"type","subtype","passengerClass","massCO2PerDistancePerPassenger","massCH4PerDistancePerPassenger","massN2OPerDistancePerPassenger","massDirectCO2ePerDistancePerPassenger","massIndirectCO2ePerDistancePerPassenger","massTotalCO2ePerDistancePerPassenger","units","source"
"taxi","regular",,0.15029,0.00004,0.00119,0.15151,0.02886,0.18038,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"taxi","black cab",,0.19871,0.00011,0.00056,0.19938,0.03548,0.23486,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bus","local (not london)",,0.18433,0.00020,0.00135,0.18588,0.03540,0.22128,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bus","local (london)",,0.08566,0.00008,0.00056,0.08630,0.01645,0.10275,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bus","local (average)",,0.14754,0.00016,0.00107,0.14877,0.02833,0.17710,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bus","coach",,0.03000,0.00007,0.00057,0.03064,0.00576,0.03641,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"rail","national",,0.05340,0.00006,0.00303,0.05649,0.00815,0.06464,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"rail","international (eurostar)",,0.01502,0.00001,0.00009,0.01512,0.00200,0.01712,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"rail","light rail and tram",,0.07101,0.00003,0.00044,0.07148,0.00944,0.08092,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"rail","london underground",,0.07313,0.00003,0.00045,0.07361,0.00972,0.08333,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"ferry","large ropax","foot passengers",0.01912,0.00001,0.00015,0.01928,0.00324,0.02252,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"ferry","large ropax","car passengers",0.13216,0.00004,0.00102,0.13322,0.02243,0.15565,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"ferry","large ropax","average (all passengers)",0.11516,0.00004,0.00088,0.11608,0.01954,0.13562,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","domestic","average",0.16313,0.00010,0.00161,0.16484,0.03034,0.19518,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","short-haul international","average",0.09589,0.00001,0.00094,0.09684,0.01783,0.11467,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","short-haul international","economy",0.09138,0.00001,0.00090,0.09229,0.01699,0.10928,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","short-haul international","business",0.13707,0.00001,0.00135,0.13843,0.02549,0.16392,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","long-haul international","average",0.11037,0.00001,0.00109,0.11146,0.02053,0.13199,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","long-haul international","economy",0.08057,0.00000,0.00079,0.08137,0.01498,0.09635,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","long-haul international","premium economy",0.12891,0.00001,0.00127,0.13019,0.02397,0.15416,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","long-haul international","business",0.23365,0.00001,0.00230,0.23596,0.04345,0.27941,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plane","long-haul international","first",0.32227,0.00002,0.00317,0.32546,0.05994,0.38540,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
