"country","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","units","source"
"Albania",0.0324402,0.0025114,0.0005023,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Algeria",0.6881182,0.0150624,0.0016108,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Angola",0.0982004,0.0134142,0.0026828,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Argentina",0.3033696,0.0057048,0.0010143,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Armenia",0.1382909,0.0095001,0.0009500,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Australia",0.9205270,0.0100771,0.0128984,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Austria",0.2144710,0.0037725,0.0020723,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Azerbaijan",0.4734752,0.0393710,0.0070983,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Bahrain",0.8248637,0.0116253,0.0011625,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Bangladesh",0.5843308,0.0235267,0.0027387,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Belarus",0.2963771,0.0244128,0.0033451,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Belgium",0.2600360,0.0042024,0.0027467,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Benin",0.6962126,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Bolivia",0.5049688,0.0072957,0.0011542,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Bosnia-Herzegovina ",0.8019580,0.0107375,0.0154417,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Botswana",1.8514539,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Brazil",0.0814376,0.0025087,0.0010650,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Brunei Darussalam",0.8210049,0.0208895,0.0021335,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Bulgaria",0.4479618,0.0108703,0.0135096,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
