"country","kgCO2PerKWh","units","source","algorithm"
"MZ",0.003,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"MM",0.368,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NA",0.028,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NP",0.001,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NL",0.466,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AN",0.719,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NZ",0.178,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NI",0.559,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NG",0.446,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"NO",0.009,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"OM",0.854,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PK",0.37,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PA",0.356,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PY",0,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PE",0.148,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PH",0.46,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PL",0.662,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"PT",0.414,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"QA",0.779,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"MD",0.756,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"RO",0.451,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"RU",0.329,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SA",0.749,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SN",0.594,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"RS",0.766,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SG",0.562,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SK",0.255,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SI",0.363,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ZA",0.853,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ES",0.381,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"LK",0.407,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SD",0.743,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SE",0.059,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CH",0.03,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SY",0.583,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TJ",0.027,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TZ",0.095,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TH",0.528,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TG",0.175,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TT",0.731,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TN",0.554,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TR",0.496,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"TM",0.795,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"UA",0.341,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AE",0.781,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GB","0.5406","kgCO2/kWh","http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls","value*user_electricity_kWh"
"US",0.659,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"UY",0.002,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"UZ",0.468,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"VE",0.245,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"VN",0.375,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"YE",0.885,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ZM",0.006,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ZW",0.516,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
