"fuel","technology","massN2OPerDistance","massN2OPerStart","massCH4PerDistance","massCH4PerStart","units","source"
"gasoline","low emission vehicle",0.00,90.00,6.00,32.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","advanced three-way catalyst",9.00,113.00,7.00,55.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","early three-way catalyst",26.00,92.00,39.00,34.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","oxidation catalyst",20.00,72.00,82.00,9.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","non-oxidation catalyst",8.00,28.00,96.00,59.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","uncontrolled",8.00,28.00,101.00,62.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","advanced",1.00,0.00,1.00,-3.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","moderate",1.00,0.00,1.00,-3.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","uncontrolled",1.00,-1.00,1.00,-3.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
