supplier=Eon
kgCO2PerKWh
start,value
2005-01-01T00:00:00+00:00 (GMT),null
2006-01-01T00:00:00+00:00 (GMT),null
2007-01-01T00:00:00+00:00 (GMT),null
2008-01-01T00:00:00+00:00 (GMT),null
2009-01-01T00:00:00+00:00 (GMT),0.112
