"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Carpet","Nylon (Polyamide)","Pile weight 700 g/m2",107.126,5.915,5.915,"Cradle to grave","Total weight of this carpet 2147 g/m2. See Refs. 277 and 279. These carpets (inc. below) are a tufted surface pile made of 100% nylon (polyamide) with a woven textile backing and flame proofed on the basis of aluminium hydroxide.",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide)","Pile weight 900 g/m2",114.133,6.428,6.428,"Cradle to grave","Total weight of this carpet 2,427 g/m2. See Refs. 277 and 279. These carpets (inc. below) are a tufted surface pile made of 100% nylon (polyamide) with a woven textile backing and flame proofed on the basis of aluminium hydroxide.",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide) tiles","Pile weight 1100 g/m2",73.785,3.845,3.845,"Cradle to grave","Total weight of this carpet 5,123 g/m2. See Refs. 277 and 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide) tiles","Pile weight 300 g/m2",43.172,1.880,1.880,"Cradle to grave","Total weight of this carpet 4,123 g/m2. See Refs. 277 and 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide) tiles","Pile weight 500 g/m2",52.367,2.447,2.447,"Cradle to grave","Total weight of this carpet 4,373 g/m2. See Refs. 277 and 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide) tiles","Pile weight 700 g/m2",60.350,2.963,2.963,"Cradle to grave","Total weight of this carpet 4,623 g/m2. See Refs. 277 and 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",,"http://people.bath.ac.uk/cj219/"
"Carpet","Nylon (Polyamide) tiles","Pile weight 900 g/m2",67.310,3.427,3.427,"Cradle to grave","Total weight of this carpet 4,873 g/m2. See Refs. 277 and 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",,"http://people.bath.ac.uk/cj219/"
"Carpet","Polyethylterepthalate (PET)",,106.500,5.560,,"Cradle to grave","Includes feedstock energy",,"http://people.bath.ac.uk/cj219/"
"Carpet","Polypropylene",,95.400,4.980,,"Cradle to grave","Includes feedstock energy, for per square meter see material profile",,"http://people.bath.ac.uk/cj219/"
"Carpet","Polyurethane",,72.100,3.760,,"Cradle to grave","Includes feedstock energy",,"http://people.bath.ac.uk/cj219/"
